iter	Logloss
0	0.689908480611	0.686824406522	0.683985349333	0.68110679244	0.678822646255	0.67549594156	0.6732759643
7	0.6704075234
8	0.6680819408
99	0.665409791610	0.6629288567
1111	0.659549213112	0.6575497196113	0.6555471248114	0.6532182545115	0.651403321
16	0.649597061
17	0.647550221
18	0.6454656502
19	0.6432720057
20	0.6415816299
21	0.6398072741
22	0.6378912084
23	0.6358227939
24	0.6343079313
25	0.6325034258
26	0.6309317725
27	0.6294948695
28	0.6278196128
2929	0.6255680883030	0.62418173831	0.623852685
32	0.6225390035
33	33	0.6200474534	34	0.618796535	035	0.617295636	0.6166544529
37	0.6153873402
38	0.6141243934
39	0.6129705915
40	0.6117870589
41	41	0.60986113442	0.608658821643	0.6081029065
44	0.6070842371
45	0.6061164971
46	0.6050513474
47	0.6041261557
48	0.6030985291
49	0.6020940479
50	0.6012799891
51	0.600070466
52	0.599285271
53	0.5984027353
54	0.5975490622
55	0.5963886153
56	0.5953389683
57	0.5945264723
58	0.5937302386
59	0.5930410974
60	0.5922859936
61	0.5915384482
62	0.5907739873
63	0.590056627
64	0.5893098612
65	0.5886872871
66	0.5877977937
67	0.5870849432
68	0.5864204434
69	0.5857197234
70	0.5848755718
71	0.5840940028772	0.5833695065773	0.5827541523774	0.5821529867575	0.5812976816
76	0.5807125509
77	0.5800410894
78	0.579429871
79	0.5788254991
80	0.5780930505
81	0.5775449091
82	0.5770552291
83	0.5765450893
84	0.5757800951
85	0.5751879902
86	0.5746597354
87	0.5740589853
88	0.5735593015
89	0.5730647507
90	0.5725478438
91	0.5721046736
92	0.571578673
93	0.5709548276
94	0.5705692152
95	0.5701013864
96	0.5697500753
97	0.5692547793
98	0.5688274214
99	0.5683357936
100	0.5679014723
101	0.5674756752
102	0.5670472316
103	0.5666047973
104	0.566221691
105	0.5656407275
106	0.5651947981
107	0.5648640461
108	0.564498626
109	0.5640303173
110	0.5636669362
111	0.5632282668
112	0.5628202998
113	0.5624219839
114	0.5619406017
115	0.5614381728
116	0.5610788943
117	0.5605852935
118	0.5601523776
119	0.5597939752
