iter	Logloss
120	0.559395631
121	0.5590370821
122	0.5586579921
123	0.5582642501
124	0.5578863448
125	0.5576144397
126	0.5572549044
127	0.5569639144
128	0.5566561216
129	0.5564156765
130	0.5559944193
131	0.5556759136
132	0.5553442057
133	0.5550906517
134	0.5547195536
135	0.5544382267
136	0.5541206706
137	0.5537498197
138	0.5533770693
139	0.5530631776
140	0.5527330211
141	0.5523628983
142	0.5520595201
143	0.5517482506
144	0.5514833694
145	0.5511783245
146	0.5508805293
147	0.5506477577
148	0.5503451724
149	0.5500487561
150	0.5497459391
151	0.5494705523
152	0.5491714173
153	0.5488550946
154	0.5485797054
155	0.5483134596
156	0.5480539628
157	0.5477619259
158	0.5475094257
159	0.5472236158
160	0.5469346756
161	0.546685456
162	0.5464448889
163	0.5461681754
164	0.5458897814
165	0.5456577833
166	0.5454000724
167	0.54516245
168	0.5448476734
169	0.5445197866
170	0.5442803406
171	0.5440154065
172	0.5438325921
173	0.5436028951
174	0.5433417338
175	0.5430831652
176	0.5428624977
177	0.5426295204
178	0.5423064814
179	0.5421407441
180	0.5419090171
181	0.5417621994
182	0.5414997986
183	0.5412446907
184	0.5409952569
185	0.5407590281
186	0.540487823
187	0.5402674356
188	0.5400365124
189	0.5398014371
190	0.5396031848
191	0.5393285542
192	0.5391412808
193	0.5389980217
194	0.5387649765
195	0.5385320954
196	0.5382695264
197	0.53811528
198	0.5379740354
199	0.5377221806
200	0.5375081801
201	0.5373117875
202	0.5370677316
203	0.5368566518
204	0.5366666166
205	0.5365104498
206	0.536214066
207	0.5360384819
208	0.5358411984
209	0.5356237432
210	0.5354566064
211	0.5352465756
212	0.5349757682
213	0.5347295205
214	0.5345547865
215	0.5343402037
216	0.5341478965
217	0.5339544804
218	0.533759635
219	0.5335363267
220	0.5333867737
221	0.5332050993
222	0.533060697
223	0.5328605883
224	0.5326653076
225	0.5324861854
226	0.5322757909
227	0.5320808825
228	0.5318883241
229	0.5317088647
230	0.5315375868
231	0.5313421635
232	0.5311484509
233	0.5309794435
234	0.5308260128
235	0.5306417045
236	0.237	0.53009237	0.238	0.52988238	0.5300644897
239	0.240	0.52954240	0.241	0.52926241	0.242	0.52910242	0.5293336936
243	0.5291339748
244	0.5289945547
245	0.5288166979
246	0.5286587906
247	0.5284331167
248	0.528244827
249	0.5280590068
250	0.5278758986
251	0.5276427238
252	0.5273957853
253	0.5272306924
254	0.5270393453
255	0.5268655094
256	0.5267013622
257	0.5265856838
258	0.5263645813
259	0.5261810295
260	0.5260657791
261	0.5258686332
262	0.5256546677
263	0.5254701146
264	0.5253096019
265	0.5251424975
266	0.5250125391
267	0.524817313
268	0.5246046327
269	0.5244193063
270	0.5242193972
271	0.524013453
272	0.5238684145
273	0.5236789416
274	0.5235322484
275	0.5233869351
276	0.523216687
277	0.5230672776
278	0.5228813197
279	0.5227382075
280	0.5226204134
281	0.5224733598
282	0.5222624463
283	0.5220725605
284	0.521934117
285	0.5217929198
286	0.5215843319
287	0.5214379045
288	0.5212060559
289	0.5210110221
290	0.5208299944
291	0.5206310155
292	0.5204104167
293	0.5202632706
294	0.5200950417
295	0.519944701
296	0.5197575541
297	0.5195565105
298	0.5194436173
299	0.519284982
300	0.5191629138
301	0.5190551495
302	0.5189120777
303	0.5187434041
304	0.5185245022
305	0.5182549962
306	0.5181002389
307	0.5179765979
308	0.5178316316
309	0.5177040692
310	0.5175664624
311	0.5173725911
312	0.5172095417
313	0.5170436303
314	0.5168824104
315	0.5167362694
316	0.5165875039
317	0.5164092487
318	0.5161979201
319	0.5160244854
320	0.5158649541
321	0.5156631673
322	0.5155055762
323	0.5153739262
324	0.5152304282
325	0.5150690477
326	0.5149490791
327	0.514701438
328	0.5145788757
329	0.5144646424
330	0.5143019537
331	0.5141824207
332	0.5139645463
333	0.513819004
334	0.5135857195
335	0.5134870424
336	0.5133309741
337	0.5131923312
338	0.5129946958
339	0.5128051673
340	0.5126785779
341	0.5125640517
342	0.5123764353
343	0.5121686222
344	0.5120534573
345	0.5119927359
346	0.51191347	0.347	0.51179348	0.348	0.51162349	0349	0.511523350	0350	0.51138351	0.351	0.51126352	0.352	0.51105353	0.353	0.51089354	0.354	0.51071355	0.355	0.51055356	0.356	0.51039357	0.357	0.51028358	0.358	0.51016359	0.359	0360	0.360	0.360	0361	0.361	0.361	0.50976362	0.362	363	0.363	0.5363	364	0.364	0.5364	365	0.365	0.5365	366	0.366	0.5366	367	0.367	0.5367	368	0.368	0.5368	369	0.369	0.5369	370	0370	0.50370371	0.371	0.50371372	0.372	0.5372	373	0.373	0.5373	374	0.374	0.5374375	0.5375	0.5375376	0.5376	0.5376377	0.5377	0.537378	0.378	0.50837379	0.379	0.50379380	0.380	0.50380381	0.381	0.50381382	0.382	0.5038383	0.5383	0.5072384	0.5384	0.5070385	0.385	0.50683386	0.386	0.50669387	0.387	0.50658388	0.388	0.50644389	0.389	0.5063390	0.5390	0.5061391	0.5391	0.5060392	0.5392	0.5058393	0.5393	0.5057394	0.5394	0.5055395	0.5395	0.5053396	0.5396	0.505397	0.50397	0.505398	0.5398	0.5048399	0.5399	0.5046400	0.5400	0.50401	0.50401	0.504402	0.50402	0.504403	0.50403	0.504404	0.50404	0.503405	0.50405	0.503406	0.50406	0.503407	0.50407	0.503408	0.5408	0.5033409	0.5409	0.503296726
410	0.5031260706
411	0.5029428331
412	0.5027765584
413	0.5025778418
414	0.5024449163
415	0.502298827
416	0.502160112
417	0.5019978947
418	0.5018684688
419	0.5017463217
420	0.501594883
421	0.5014882211
422	0.501324729
423	0.501188609
424	0.5010678869
425	0.5009011273
426	0.5007286564
427	0.5005944261
428	0.5004447419
429	0.5003116573
430	0.5001677054
431	0.5000062839
432	0.4998630244
433	0.4997434	0.434	0.4995435	0.4435	0.4994436	0.436	0.49929437	0.437	0.49918438	0.438	0.49904439	0.439	0.49882440	0.440	0.49865441	0.441	0.49851442	0442	0.498365443	0443	0.498185444	0444	0.498090445	0445	0.49794446	0.446	0.4978447	0.4447	0.4976448	0.4448	0.4449	0.4967449	0.4450	0.496450	0.49451	0.49451	0.497452	0.49452	0.497453	0.49453	0.496454	0.49454	0.496455	0.49455	0.496456	0.49456	0.49457	0.495457	0.49458	0.495458	0.49459	0.458459	0.4460	0.4950460	0.4461	0.4460461	0.4462	0.4948462	0.4463	0.4947463	0.4464	0.4945464	0.4465	0.4943465	0.4466	0.4465466	0.4467	0.4466467	0.4949754467	468	0.4469	0468	0469	0.494713469	0470	0.494532470	0471	0.494383471	0472	0.494245472	0473	0.494077473	0474	0.493905474	0475	0.493781475	0476	0.493661476	0477	0.49349477	0.478	0.49335478	0.479	0.49323479	0.480	0.4931094709
481	0.4929596524
482	0.4928515795
483	0.4927216177
484	0.4925867883
485	0.4924438218
486	0.4923046329
487	0.4920993318
488	0.4919808651
489	0.4918731762
490	0.491735612
491	0.4915574329
492	0.4914403941
493	0.4913223709
494	0.4911652413
495	0.4910379324
496	0.4908459059
497	0.4907333678
498	0.4906074317
499	0.4905164098
894407255
